States,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
ANDAMAN AND NICOBAR,5.06,5.88,6.23,6.2,4.62,4.22,4.31,4.39,4.44,4.92,4.7,4.6
ANDHRA PRADESH,5.07,5.93,6.35,6.62,6.27,5.36,4.71,4.76,4.99,4.86,4.53,4.42
ARUNACHAL PRADESH,3.05,3.1,3.32,3.35,3.72,3.56,3.7,3.97,3.59,3.85,3.53,3.13
ASSAM,3.61,4.22,4.69,4.59,4.67,4.47,4.31,4.4,4.29,4.22,3.99,3.6
BIHAR,3.15,4.35,5.39,5.77,5.67,4.9,4.33,4.45,4.37,4.49,4.01,3.19
CHANDIGARH,3.09,4.08,5.54,6.4,7.11,6.54,5.45,5.28,5.28,5.08,4.02,3.26
CHHATTISGARH,4.18,5.09,5.79,6.53,6.63,5.13,3.89,3.81,4.44,4.91,4.4,3.99
DADRA AND NAGAR HAVELI,4.56,5.5,6.31,6.98,6.96,5,3.43,3.27,4.2,5.16,4.81,4.3
GOA,3.04,4.35,5.61,6.37,6.61,5.99,4.87,4.8,4.96,4.64,3.53,3.02
GUJARAT,5.25,5.96,6.4,6.56,6.17,4.12,3.82,4.38,4.88,5,5.04,4.91
HARYANA,3.04,4.35,5.61,6.37,6.61,5.99,4.87,4.8,4.96,4.64,3.53,3.02
HIMACHAL PRADESH,3,3.57,4.92,5.87,6.49,5.95,4.74,4.48,4.89,4.97,3.84,3.17
JAMMU AND KASHMIR,2.77,3.13,4.45,5.27,6.26,6.6,6.3,5.74,5.32,4.52,3.15,2.64
JHARKHAND,3.69,4.68,5.58,6.12,6,5.06,4.22,4.28,4.38,4.47,3.95,3.46
KARNATAKA,5.4,6.05,6.3,6.28,5.8,4.84,4.37,4.46,5.01,4.95,4.75,4.82
KERALA,5.57,6.13,6.23,5.86,5.08,4.74,4.83,5.14,5.4,5.05,4.62,4.9
MADHYA PRADESH,5.4,5.99,6.3,6.13,5.31,4.26,4.44,4.98,5.25,4.94,4.78,4.93
MAHARASHTRA,4.41,5.42,6.28,6.96,7.16,5.37,3.81,3.54,4.63,5.25,4.7,4.23
MANIPUR,4.68,5.6,6.35,6.97,6.87,4.62,3.16,3.13,4.14,5.09,4.89,4.41
MEGHALAYA,4.06,4.78,5.16,5.13,4.91,4.44,4.24,4.41,4.34,4.35,4.18,3.82
MIZORAM,3.72,4.41,5,4.96,4.68,3.88,3.71,3.96,3.83,4.17,4.08,3.68
NAGALAND,4.1,4.9,5.33,5.31,4.96,4.37,4.36,4.42,4.49,4.47,4.31,3.91
ODISHA,3.84,4.38,4.72,4.62,4.49,4.08,3.81,4.02,4.09,4.09,4.08,3.7
PUDUCHERRY,4.18,5.13,5.63,6.1,5.86,4.77,4.13,4.14,4.5,4.56,4.32,3.87
PUNJAB,4.93,5.77,6.14,6.23,5.87,5.47,5.16,5.31,5.29,4.65,4.07,4.1
RAJASTAN,2.78,3.74,5.12,6.04,6.72,6.28,5.21,5.01,4.97,4.55,3.5,2.85
SIKKIM,4.03,5.12,6.18,6.89,7.21,6.55,5.34,4.88,5.47,5.36,4.2,3.83
TAMIL NADU,3.5,3.89,4.32,4.55,4.45,4.12,3.91,3.93,3.66,4.08,3.78,3.54
TELANGANA,4.91,5.76,6.18,6.37,5.93,5.42,5.03,5.13,5.22,4.69,4.17,4.14
TRIPURA,4.01,4.94,5.36,5.38,5.05,4.36,4.39,4.51,4.44,4.52,4.42,3.85
UTTAR PRADESH,2.99,4.44,5.72,6.39,6.59,5.89,4.74,4.68,4.89,4.66,3.58,3
UTTARAKHAND,3.39,4.18,5.41,6.2,6.84,6.14,4.66,4.49,4.95,5.2,4.2,3.56
WEST BENGAL,3.65,4.64,5.29,5.73,5.6,4.42,4.1,4.02,4.22,4.31,3.98,3.47
